name,county_name
Kiltimagh,Mayo Co.
Knock,Mayo Co.
Lahardane,Mayo Co.
Louisburgh,Mayo Co.
Mulranny,Mayo Co.
Newport,Mayo Co.
Shrule,Mayo Co.
Swinford,Mayo Co.
Turlough,Mayo Co.
Westport,Mayo Co.
Charlestown-Bellahy,Mayo Co.
Ashbourne,Meath Co.
Athboy,Meath Co.
Balbradagh,Meath Co.
Ballivor,Meath Co.
Balreask,Meath Co.
Carlanstown,Meath Co.
Clonard,Meath Co.
Clonee Village,Meath Co.
Crossakeel,Meath Co.
Donore,Meath Co.
Drumconrath,Meath Co.
Duleek,Meath Co.
Dunboyne,Meath Co.
Dunderry,Meath Co.
Dunshaughlin,Meath Co.
Enfield,Meath Co.
Gormanston,Meath Co.
Julianstown/Whitecross,Meath Co.
Kells (Ceannanus Mór),Meath Co.
Kentstown,Meath Co.
Kilcloon,Meath Co.
Kildalkey,Meath Co.
Kilmainham,Meath Co.
Kilmessan,Meath Co.
Laytown-Bettystown-Mornington,Meath Co.
Longwood,Meath Co.
Navan (An Uaimh),Meath Co.
Nobber,Meath Co.
Oldcastle,Meath Co.
Rathmolyon,Meath Co.
Ratoath,Meath Co.
Slane,Meath Co.
Stamullen,Meath Co.
Summerhill,Meath Co.
Trim,Meath Co.
Ballybay,Monaghan Co.
Bellanode,Monaghan Co.
Cabragh,Monaghan Co.
Carrickmacross,Monaghan Co.
Castleblayney,Monaghan Co.
Clones,Monaghan Co.
Clontibret,Monaghan Co.
Emyvale,Monaghan Co.
Glasslough,Monaghan Co.
Inniskeen,Monaghan Co.
Monaghan,Monaghan Co.
Newbliss,Monaghan Co.
Oram,Monaghan Co.
Rockcorry,Monaghan Co.
Scotstown,Monaghan Co.
Smithborough,Monaghan Co.
Ballina,Tipperary Co.
Borrisokane,Tipperary Co.
Borrisoleigh,Tipperary Co.
Cloughjordan,Tipperary Co.
Dromineer,Tipperary Co.
Littleton,Tipperary Co.
Nenagh,Tipperary Co.
Newport,Tipperary Co.
Newtown,Tipperary Co.
Portroe,Tipperary Co.
Puckaun,Tipperary Co.
Reardnogy,Tipperary Co.
Roscrea,Tipperary Co.
Silvermines,Tipperary Co.
Templemore,Tipperary Co.
Templetuohy,Tipperary Co.
Thurles,Tipperary Co.
Toomevara,Tipperary Co.
Twomileborris,Tipperary Co.
Holycross,Tipperary Co.
Ballinagar,Offaly Co.
Ballycumber,Offaly Co.
Banagher,Offaly Co.
Belmont,Offaly Co.
Bracknagh,Offaly Co.
Clara,Offaly Co.
Cloghan,Offaly Co.
Clonbullogue,Offaly Co.
Clonygowan,Offaly Co.
Coolagary,Offaly Co.
Daingean,Offaly Co.
Edenderry,Offaly Co.
Ferbane,Offaly Co.
Geashill,Offaly Co.
Kilcormac (Frankford),Offaly Co.
Killeigh,Offaly Co.
Killurin,Offaly Co.
Kinnitty,Offaly Co.
Moneygall,Offaly Co.
Mucklagh,Offaly Co.
Pollagh,Offaly Co.
Rhode,Offaly Co.
Shannonbridge,Offaly Co.
Shinrone,Offaly Co.
Tullamore,Offaly Co.
Birr,Offaly Co.
Athleague,Roscommon Co.
Ballaghaderreen,Roscommon Co.
Ballinameen,Roscommon Co.
Ballinlough,Roscommon Co.
Ballintober,Roscommon Co.
Ballyfarnan,Roscommon Co.
Ballyforan,Roscommon Co.
Bellanagare,Roscommon Co.
Boyle,Roscommon Co.
Castlerea,Roscommon Co.
Clontuskert,Roscommon Co.
Cloonfad,Roscommon Co.
Elphin,Roscommon Co.
Frenchpark,Roscommon Co.
Keadew,Roscommon Co.
Knockcroghery,Roscommon Co.
Loughglinn,Roscommon Co.
Roscommon,Roscommon Co.
Strokestown,Roscommon Co.
Tulsk,Roscommon Co.
Ballincar,Sligo Co.
Ballintogher,Sligo Co.
Ballisodare,Sligo Co.
Ballygawley,Sligo Co.
Ballymote,Sligo Co.
Carney,Sligo Co.
Cliffoney,Sligo Co.
Collooney,Sligo Co.
Coolaney,Sligo Co.
Dromore West,Sligo Co.
Easky,Sligo Co.
Grange,Sligo Co.
Gurteen,Sligo Co.
Inniscrone,Sligo Co.
Mullaghmore,Sligo Co.
Riverstown,Sligo Co.
Rosses Point,Sligo Co.
Sligo,Sligo Co.
Strandhill,Sligo Co.
Tubbercurry,Sligo Co.
Brittas,Dublin Co.
Newcastle,Dublin Co.
Rathcoole,Dublin Co.
Saggart,Dublin Co.
Ardfinnan,Tipperary Co.
Ballingarry,Tipperary Co.
Ballyclerahan,Tipperary Co.
Ballynonty,Tipperary Co.
Ballyporeen,Tipperary Co.
Bansha,Tipperary Co.
Cahir,Tipperary Co.
Cappawhite,Tipperary Co.
Carrick-on-Suir,Tipperary Co.
Cashel,Tipperary Co.
Clogheen,Tipperary Co.
Donaskeigh,Tipperary Co.
Drangan,Tipperary Co.
Dundrum,Tipperary Co.
Emly,Tipperary Co.
Fethard,Tipperary Co.
Golden,Tipperary Co.
Gortnahoo,Tipperary Co.
Killenaule,Tipperary Co.
Kilsheelan,Tipperary Co.
Lisronagh,Tipperary Co.
Monard,Tipperary Co.
Mullinahone,Tipperary Co.
Newcastle,Tipperary Co.
Rosegreen,Tipperary Co.
The Commons,Tipperary Co.
Tipperary,Tipperary Co.
Clonmel,Tipperary Co.
Aglish,Waterford Co.
An Rinn (Ring),Waterford Co.
Ardmore,Waterford Co.
Ballinroad,Waterford Co.
Ballymacarbry,Waterford Co.
Cappoquin,Waterford Co.
Cheekpoint,Waterford Co.
Clashmore,Waterford Co.
Dungarvan,Waterford Co.
Dunhill,Waterford Co.
Dunmore East,Waterford Co.
Kill,Waterford Co.
Kilmacthomas,Waterford Co.
Kilmeaden,Waterford Co.
Lemybrien,Waterford Co.
Lismore,Waterford Co.
Passage East,Waterford Co.
